start_date_local,type,distance,moving_time,average_speed,streak,location_country
2023-04-14 07:39:13,Run,3572.99,0:54:07,0:15:08,1,"{'latitude': 30.453509, 'longitude': 114.430588, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.454543, 'startLongitude': 114.43235}"
2023-04-15 07:29:03,Run,7072.93,0:58:59,0:08:20,2,"{'latitude': 30.657023, 'longitude': 114.326705, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江岸区', 'districtCode': '420102', 'startLatitude': 30.657026, 'startLongitude': 114.327245}"
2023-04-16 08:46:11,Run,5267.53,0:43:26,0:08:14,3,"{'latitude': 30.656892, 'longitude': 114.323871, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江岸区', 'districtCode': '420102', 'startLatitude': 30.657021, 'startLongitude': 114.327409}"
2023-04-17 07:52:23,Run,3179.03,0:24:46,0:07:47,4,"{'latitude': 30.453932, 'longitude': 114.431956, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453522, 'startLongitude': 114.430817}"
2023-04-18 07:17:58,Run,10411.44,1:15:37,0:07:15,5,"{'latitude': 30.450832, 'longitude': 114.430786, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.454145, 'startLongitude': 114.431187}"
2023-04-18 19:26:35,Run,3198.32,0:23:49,0:07:26,5,"{'latitude': 30.45415, 'longitude': 114.432589, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453121, 'startLongitude': 114.431071}"
2023-04-19 07:16:06,Run,3461.66,0:27:57,0:08:04,6,"{'latitude': 30.453689, 'longitude': 114.427518, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.454781, 'startLongitude': 114.433698}"
2023-04-20 07:06:59,Run,6070.53,0:49:14,0:08:06,7,"{'latitude': 30.452021, 'longitude': 114.430974, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453383, 'startLongitude': 114.43061}"
2023-04-21 07:15:58,Run,5038.79,0:40:21,0:08:00,8,"{'latitude': 30.454225, 'longitude': 114.432959, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453309, 'startLongitude': 114.430821}"
2023-04-21 20:12:53,Run,2344.92,0:16:04,0:06:51,8,"{'latitude': 30.462483, 'longitude': 114.43539, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.462573, 'startLongitude': 114.436459}"
2023-04-23 07:13:13,Run,7356.83,1:13:50,0:10:02,1,"{'latitude': 30.458248, 'longitude': 114.432792, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453779, 'startLongitude': 114.43056}"
2023-04-23 19:25:17,Run,1119.17,0:08:08,0:07:16,1,"{'latitude': 30.454135, 'longitude': 114.432281, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453771, 'startLongitude': 114.43056}"
2023-04-24 07:13:49,Run,2318.05,0:17:36,0:07:35,2,"{'latitude': 30.464402, 'longitude': 114.444288, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453983, 'startLongitude': 114.430739}"
2023-04-26 19:43:37,Run,1030.76,0:09:55,0:09:37,1,"{'latitude': 30.454226, 'longitude': 114.433014, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453583, 'startLongitude': 114.430725}"
2023-04-27 12:06:59,Run,2135.07,0:15:34,0:07:17,2,"{'latitude': 30.451032, 'longitude': 114.431224, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453589, 'startLongitude': 114.427861}"
